,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
2175,669037058363662336,336,698,False,"[0, 141]"
2176,669015743032369152,403,785,False,"[0, 138]"
2177,669006782128353280,269,610,False,"[0, 110]"
2178,669000397445533696,6965,22118,False,"[0, 133]"
2179,668994913074286592,254,468,False,"[0, 140]"
2180,668992363537309700,381,802,False,"[0, 139]"
2181,668989615043424256,356,726,False,"[0, 140]"
2182,668988183816871936,516,961,False,"[0, 139]"
2183,668986018524233728,183,578,False,"[0, 140]"
2184,668981893510119424,340,573,False,"[0, 138]"
2185,668979806671884288,382,842,False,"[0, 139]"
2186,668975677807423489,641,1386,False,"[0, 134]"
2187,668967877119254528,25,161,False,"[0, 29]"
2188,668960084974809088,263,757,False,"[0, 144]"
2189,668955713004314625,77,300,False,"[0, 140]"
2190,668932921458302977,63,284,False,"[0, 140]"
2191,668902994700836864,107,338,False,"[0, 125]"
2192,668892474547511297,164,422,False,"[0, 139]"
2193,668872652652679168,322,566,False,"[0, 136]"
2194,668852170888998912,184,479,False,"[0, 144]"
2195,668826086256599040,150,467,False,"[0, 139]"
2196,668815180734689280,291,610,False,"[0, 137]"
2197,668779399630725120,409,749,False,"[0, 123]"
2198,668655139528511488,233,562,False,"[0, 112]"
2199,668645506898350081,588,962,False,"[0, 108]"
2200,668643542311546881,576,939,False,"[0, 140]"
2201,668641109086707712,573,1145,False,"[0, 63]"
2202,668636665813057536,528,1114,False,"[0, 139]"
2203,668633411083464705,1788,3024,False,"[0, 63]"
2204,668631377374486528,349,763,False,"[0, 135]"
2205,668627278264475648,123,341,False,"[0, 144]"
2206,668625577880875008,140,417,False,"[0, 85]"
2207,668623201287675904,851,1551,False,"[0, 97]"
2208,668620235289837568,45,211,False,"[0, 144]"
2209,668614819948453888,341,654,False,"[0, 139]"
2210,668587383441514497,1174,1760,False,"[0, 134]"
2211,668567822092664832,62,265,False,"[0, 82]"
2212,668544745690562560,250,561,False,"[0, 140]"
2213,668542336805281792,231,497,False,"[0, 140]"
2214,668537837512433665,79,265,False,"[0, 144]"
2215,668528771708952576,242,496,False,"[0, 139]"
2216,668507509523615744,116,345,False,"[0, 138]"
2217,668496999348633600,146,436,False,"[0, 139]"
2218,668484198282485761,253,453,False,"[0, 137]"
2219,668480044826800133,162,491,False,"[0, 138]"
2220,668466899341221888,560,936,False,"[0, 135]"
2221,668297328638447616,319,656,False,"[0, 140]"
2222,668291999406125056,34,264,False,"[0, 60]"
2223,668286279830867968,149,535,False,"[0, 137]"
2224,668274247790391296,248,886,False,"[0, 140]"
2225,668268907921326080,261,592,False,"[0, 138]"
2226,668256321989451776,667,1385,False,"[0, 138]"
2227,668248472370458624,523,1056,False,"[0, 132]"
2228,668237644992782336,3100,6614,False,"[0, 140]"
2229,668226093875376128,115,323,False,"[0, 84]"
2230,668221241640230912,215,537,False,"[0, 143]"
2231,668204964695683073,206,586,False,"[0, 99]"
2232,668190681446379520,210,696,False,"[0, 111]"
2233,668171859951755264,208,525,False,"[0, 129]"
2234,668154635664932864,336,522,False,"[0, 139]"
2235,668142349051129856,306,592,False,"[0, 140]"
2236,668113020489474048,265,709,False,"[0, 132]"
2237,667937095915278337,866,1356,False,"[0, 138]"
2238,667924896115245057,119,318,False,"[0, 139]"
2239,667915453470232577,59,222,False,"[0, 138]"
2240,667911425562669056,329,523,False,"[0, 138]"
2241,667902449697558528,396,905,False,"[0, 137]"
2242,667886921285246976,1180,2011,False,"[0, 139]"
2243,667885044254572545,530,868,False,"[0, 117]"
2244,667878741721415682,127,409,False,"[0, 139]"
2245,667873844930215936,440,667,False,"[0, 135]"
2246,667866724293877760,1110,3172,False,"[0, 140]"
2247,667861340749471744,86,253,False,"[0, 140]"
2248,667832474953625600,68,303,False,"[0, 112]"
2249,667806454573760512,535,1111,False,"[0, 102]"
2250,667801013445750784,101,346,False,"[0, 36]"
2251,667793409583771648,358,736,False,"[0, 119]"
2252,667782464991965184,261,434,False,"[0, 134]"
2253,667773195014021121,61,243,False,"[0, 136]"
2254,667766675769573376,243,476,False,"[0, 139]"
2255,667728196545200128,162,398,False,"[0, 140]"
2256,667724302356258817,341,517,False,"[0, 140]"
2257,667550904950915073,37,0,False,"[0, 123]"
2258,667550882905632768,34,0,False,"[0, 104]"
2259,667549055577362432,2454,6138,False,"[0, 140]"
2260,667546741521195010,138,355,False,"[0, 140]"
2261,667544320556335104,568,917,False,"[0, 139]"
2262,667538891197542400,72,220,False,"[0, 117]"
2263,667534815156183040,576,866,False,"[0, 140]"
2264,667530908589760512,264,501,False,"[0, 113]"
2265,667524857454854144,1198,1798,False,"[0, 136]"
2266,667517642048163840,203,389,False,"[0, 143]"
2267,667509364010450944,2272,7148,False,"[0, 116]"
